Ticker,Name,Sector,Asset Class,As of Date,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
FIL,FILO CORP,Materials,Equity,2024/8/30,"10,818,947.92",0.08,"10,818,947.92","337,249.00",32.08,Canada,Toronto Stock Exchange,CAD,1,CAD
HR.UN,H&R REAL ESTATE INVESTMENT TRUST,Real Estate,Equity,2024/8/30,"10,698,901.20",0.08,"10,698,901.20","1,016,040.00",10.53,Canada,Toronto Stock Exchange,CAD,1,CAD
EQX,EQUINOX GOLD CORP,Materials,Equity,2024/8/30,"10,590,429.61",0.08,"10,590,429.61","1,377,169.00",7.69,Canada,Toronto Stock Exchange,CAD,1,CAD
NGD,NEW GOLD INC,Materials,Equity,2024/8/30,"10,417,919.60",0.08,"10,417,919.60","3,064,094.00",3.4,Canada,Toronto Stock Exchange,CAD,1,CAD
LUG,LUNDIN GOLD INC,Materials,Equity,2024/8/30,"10,211,832.66",0.08,"10,211,832.66","377,238.00",27.07,Canada,Toronto Stock Exchange,CAD,1,CAD
EQB,EQB INC,Financials,Equity,2024/8/30,"9,989,815.06",0.08,"9,989,815.06","104,737.00",95.38,Canada,Toronto Stock Exchange,CAD,1,CAD
LNR,LINAMAR CORP,Consumer Discretionary,Equity,2024/8/30,"9,934,724.00",0.08,"9,934,724.00","157,195.00",63.2,Canada,Toronto Stock Exchange,CAD,1,CAD
OGC,OCEANAGOLD CORPORATION CORP,Materials,Equity,2024/8/30,"9,664,402.41",0.07,"9,664,402.41","2,753,391.00",3.51,Canada,Toronto Stock Exchange,CAD,1,CAD
AIF,ALTUS GROUP LTD,Real Estate,Equity,2024/8/30,"9,652,648.11",0.07,"9,652,648.11","177,667.00",54.33,Canada,Toronto Stock Exchange,CAD,1,CAD
GSY,GOEASY LTD,Financials,Equity,2024/8/30,"9,604,699.13",0.07,"9,604,699.13","50,639.00",189.67,Canada,Toronto Stock Exchange,CAD,1,CAD
ERO,ERO COPPER CORP,Materials,Equity,2024/8/30,"9,564,882.38",0.07,"9,564,882.38","345,178.00",27.71,Canada,Toronto Stock Exchange,CAD,1,CAD
TPZ,TOPAZ ENERGY CORP,Energy,Equity,2024/8/30,"9,556,837.80",0.07,"9,556,837.80","357,934.00",26.7,Canada,Toronto Stock Exchange,CAD,1,CAD
SES,SECURE ENERGY SERVICES INC,Energy,Equity,2024/8/30,"9,400,748.74",0.07,"9,400,748.74","757,514.00",12.41,Canada,Toronto Stock Exchange,CAD,1,CAD
LSPD,LIGHTSPEED COMMERCE INC,Information Technology,Equity,2024/8/30,"9,314,446.02",0.07,"9,314,446.02","535,929.00",17.38,Canada,Toronto Stock Exchange,CAD,1,CAD
DPM,DUNDEE PRECIOUS METALS INC,Materials,Equity,2024/8/30,"9,232,228.20",0.07,"9,232,228.20","703,140.00",13.13,Canada,Toronto Stock Exchange,CAD,1,CAD
KMP.UN,KILLAM APARTMENT REIT UNITS CLASS,Real Estate,Equity,2024/8/30,"9,188,248.18",0.07,"9,188,248.18","461,026.00",19.93,Canada,Toronto Stock Exchange,CAD,1,CAD
BHC,BAUSCH HEALTH COMPANIES INC,Health Care,Equity,2024/8/30,"9,135,150.77",0.07,"9,135,150.77","1,143,323.00",7.99,Canada,Toronto Stock Exchange,CAD,1,CAD
